,,window_accuracy,window_accuracy,window_accuracy,window_precision,window_precision,window_precision,window_recall,window_recall,window_recall,window_specificity,window_specificity,window_specificity,window_f1,window_f1,window_f1,window_auroc,window_auroc,window_auroc,window_tn,window_tn,window_tn,window_fp,window_fp,window_fp,window_fn,window_fn,window_fn,window_tp,window_tp,window_tp,window_loss,window_loss,window_loss,video_accuracy,video_accuracy,video_accuracy,video_precision,video_precision,video_precision,video_recall,video_recall,video_recall,video_specificity,video_specificity,video_specificity,video_f1,video_f1,video_f1,video_auroc,video_auroc,video_auroc,video_tn,video_tn,video_tn,video_fp,video_fp,video_fp,video_fn,video_fn,video_fn,video_tp,video_tp,video_tp,event_event_recall,event_event_recall,event_event_recall,event_detected_events,event_detected_events,event_detected_events,event_total_events,event_total_events,event_total_events,event_false_alarms,event_false_alarms,event_false_alarms,event_false_alarms_per_hour,event_false_alarms_per_hour,event_false_alarms_per_hour,event_mean_detection_delay_seconds,event_mean_detection_delay_seconds,event_mean_detection_delay_seconds
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
variant,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mask_ratio_005,masked_bimamba,0.8675959673208021,0.026073513239478444,12,0.6129244027614966,0.09217257371387957,12,0.6836721431215543,0.05957501754993259,12,0.9078932805056906,0.025916305641281515,12,0.6422723568031609,0.059497556964457785,12,0.862757482882393,0.04579727625276908,12,1469.3333333333333,299.45020327664537,12,155.16666666666666,74.32585911601248,12,111.58333333333333,42.66456552591567,12,231.16666666666666,43.63241775088654,12,0.3803256218361672,0.20831787737646124,12,0.7159048192579602,0.07589030353504082,12,0.6467818826125066,0.0592223470232885,12,0.9492080997457341,0.03614343856698753,12,0.4895212985938793,0.13054789664826824,12,0.7684675580219588,0.051184976901494504,12,0.8837919570904625,0.05727872352033144,12,15.833333333333334,3.511884584284246,12,17.166666666666668,6.235285709475378,12,1.6666666666666667,1.2309149097933272,12,30.333333333333332,4.0526833609649815,12,0.9347256685966364,0.0462133083522454,12,29.916666666666668,4.399552318822974,12,32.0,4.552721463835969,12,24.416666666666668,9.039894743286395,12,189.4050970622294,38.43177504676603,12,0.27747892131763097,0.16034851475581102,12
mask_ratio_010,masked_bimamba,0.8596710354021128,0.01692758548926496,12,0.5821481822556938,0.07093578754780751,12,0.6863195771890709,0.0749573089794885,12,0.8968795479721768,0.015826276915358754,12,0.626969829091827,0.05852759561421365,12,0.8608701406549345,0.04412136045016141,12,1457.0833333333333,328.4535274539911,12,167.41666666666666,44.38562079472736,12,111.33333333333333,50.02605381804626,12,231.41666666666666,41.3135644318014,12,0.2885463387940997,0.21163875584999314,12,0.7081960829838589,0.03663830360855082,12,0.6381166519099438,0.03375827151632309,12,0.9443831755659713,0.041682105367835766,12,0.480071770747174,0.06660242516653234,12,0.7609382498874445,0.02883782687663389,12,0.8784839767867346,0.05347784754204117,12,15.833333333333334,2.691175253012007,12,17.166666666666668,2.9490625115398443,12,1.8333333333333333,1.5275252316519468,12,30.166666666666668,4.018894767409962,12,0.9299007444168734,0.05033686620853808,12,29.75,4.371914496377573,12,32.0,4.552721463835969,12,25.75,5.92567602587556,12,205.96816064758536,45.50662631993308,12,0.2581338199781278,0.17870233761946072,12
mask_ratio_020,masked_bimamba,0.8626886265280339,0.026099481129152266,12,0.5930658983892071,0.08162094885361645,12,0.6884403250779708,0.07362445829357388,12,0.9001344943871689,0.02185439212383836,12,0.6346110696595794,0.06458604200145487,12,0.8638383228647868,0.05056529299529303,12,1459.9166666666667,315.6224609858872,12,164.58333333333334,60.26827649365089,12,110.66666666666667,49.88410811495223,12,232.08333333333334,41.879607390131,12,0.41790263944274214,0.2789027722461589,12,0.7137946707131766,0.054323689363242486,12,0.6446022072874579,0.042441968948784284,12,0.9431960910455534,0.05091123257976846,12,0.49138535635511443,0.10245564463430505,12,0.7648841616034804,0.037874024686242604,12,0.8773088939619419,0.058840323498230235,12,16.0,2.6285149626910838,12,17.0,4.917501213199461,12,1.9166666666666667,1.9752253419585197,12,30.083333333333332,3.776923551668939,12,0.9287136598964555,0.05882222663944764,12,29.666666666666668,4.185110693297313,12,32.0,4.552721463835969,12,24.083333333333332,8.151501070169205,12,188.023170153807,43.126630968080995,12,0.27770966324784896,0.15973943307788804,12
mask_ratio_030,masked_bimamba,0.8550439808539618,0.022288594577265876,12,0.5715368846612419,0.07646644214177602,12,0.6702963547987323,0.06945534112404363,12,0.8948502941710195,0.015679566711042616,12,0.6148513849998692,0.06274937361371777,12,0.8535455640194344,0.05034140158534349,12,1448.8333333333333,298.5174985988208,12,175.66666666666666,67.77949989532681,12,116.58333333333333,49.23313432183162,12,226.16666666666666,40.53468398866095,12,0.41360533977977204,0.2678151728363247,12,0.715904646507363,0.05238474364226122,12,0.6481777003611641,0.041820572909921604,12,0.936471831633122,0.04465844709475367,12,0.5013785497656466,0.10495905691368415,12,0.765113370835397,0.03394595816072579,12,0.8663788146259025,0.06454173139163855,12,16.25,2.220769727328383,12,16.75,5.310795181001189,12,2.0833333333333335,1.5642792899510294,12,29.916666666666668,4.010403138505321,12,0.9219894004840241,0.0539420284289982,12,29.5,4.379705261980328,12,32.0,4.552721463835969,12,25.083333333333332,8.295215853768125,12,194.43630367310467,34.26337728662965,12,0.2860385933447185,0.19095394430598564,12
no_bidirectional,masked_bimamba,0.8556223715156467,0.023054705637983345,12,0.5712610303917317,0.06587468431796245,12,0.6919120401856779,0.07190003937819282,12,0.8909651168715603,0.017355644409972518,12,0.6236259103047431,0.05775176907326616,12,0.8583842050422015,0.0405221364212251,12,1446.6666666666667,320.73164464827585,12,177.83333333333334,53.38510744551983,12,109.91666666666667,50.06442818705683,12,232.83333333333334,39.40196887866328,12,0.28496876544518046,0.18413908687497493,12,0.6925156840267196,0.04289795143752032,12,0.6236562450410862,0.029283674104093164,12,0.947385350611157,0.04938889455255896,12,0.44611464364488557,0.061782806311074745,12,0.7518183675943847,0.032985425712869415,12,0.8593677736122922,0.060029984020497015,12,14.583333333333334,1.5050420310248864,12,18.416666666666668,3.8247598458972396,12,1.8333333333333333,1.9924098397912438,12,30.166666666666668,3.242707435947856,12,0.9350396715988114,0.051006030216550965,12,29.833333333333332,3.7376057804023386,12,32.0,4.552721463835969,12,27.666666666666668,7.487363091276264,12,216.33177231247495,27.433691661218933,12,0.2803104643754672,0.17207500643514895,12
no_confidence_input,masked_bimamba,0.8612094079968599,0.022902739948330444,12,0.5853560073206526,0.06662360169625231,12,0.7216525142588716,0.07315607984997989,12,0.8916772923167583,0.02325154224767965,12,0.6428518296037032,0.05133302366191836,12,0.8743680053617445,0.03479561589139429,12,1450.0,335.6808549256814,12,174.5,48.515227225349285,12,98.91666666666667,45.44818894948266,12,243.83333333333334,46.555603770375924,12,0.31683943292232414,0.15437626593755663,12,0.693444736738455,0.0571361002276867,12,0.625381302552867,0.044564802390953034,12,0.9499969365560763,0.03806597978532146,12,0.44494330714088776,0.09901896002145445,12,0.7535857950360784,0.03982894338226599,12,0.8809820023825562,0.05396175681155837,12,14.5,2.8762349126466136,12,18.5,4.96350316171589,12,1.5833333333333333,1.164500152881315,12,30.416666666666668,4.521832559590161,12,0.9438240970499034,0.04722769191056959,12,30.25,4.769696007084729,12,32.0,4.552721463835969,12,28.25,8.378815277504657,12,221.9737693473753,39.02965013859871,12,0.22375320015467282,0.17379174397589542,12
no_confidence_or_quality,masked_bimamba,0.864002537380847,0.02149938975774261,12,0.5956251648818303,0.07678321642823228,12,0.6976545794569872,0.07649299072555582,12,0.8995972368395657,0.024270356754762544,12,0.6389990810588723,0.05939245941672627,12,0.8731190302141013,0.04404881961069889,12,1461.25,330.14710908375923,12,163.25,53.54203955771577,12,106.5,46.84112412283579,12,236.25,47.19230484267149,12,0.3411551440889942,0.18796063577677033,12,0.7030705727649701,0.04584523101041837,12,0.6336927541975371,0.03408132818769403,12,0.9426370125294857,0.043905882984874724,12,0.47070280190239866,0.0767264381220369,12,0.757478991393396,0.03419080527582365,12,0.8775262392428839,0.061741563736288856,12,15.333333333333334,1.8257418583505538,12,17.666666666666668,4.478906793025064,12,1.8333333333333333,1.403458930534474,12,30.166666666666668,4.407294229370489,12,0.9364641730233129,0.05108854148388865,12,30.0,4.651490474714919,12,32.0,4.552721463835969,12,26.833333333333332,7.7557407867666095,12,210.32496410788133,33.90124331455991,12,0.2447508159832844,0.15981969633968632,12
no_frame_masking,masked_bimamba,0.8689470742199893,0.02294194057319367,12,0.6080748641760407,0.07457978580480115,12,0.7101647454447081,0.08478176631489681,12,0.9034392790594864,0.02099910080160029,12,0.6515868221903786,0.059094180802028905,12,0.8682439486791015,0.04557867541994777,12,1465.75,319.9676475122844,12,158.75,55.70559789072941,12,103.0,49.193495504995376,12,239.75,45.66503536126361,12,0.3276641084049287,0.17534875196581873,12,0.7188099660510526,0.05672323125173141,12,0.6475288143570125,0.04503893682081096,12,0.9545844438317556,0.041005096008875586,12,0.48972161910669976,0.11209589445879224,12,0.7705637158705615,0.0359368234301396,12,0.8835368400638007,0.04947546220332721,12,15.916666666666666,3.028901190901153,12,17.083333333333332,5.367551216393382,12,1.5,1.381698559415515,12,30.5,4.05642027587693,12,0.9401020126826579,0.051774718796177115,12,30.083333333333332,4.4201672805312215,12,32.0,4.552721463835969,12,24.25,9.677762701631556,12,187.85005551712558,49.91885501101236,12,0.25140952232537084,0.1962181870660138,12
