,,,severity,severity,severity,window_accuracy,window_accuracy,window_accuracy,window_precision,window_precision,window_precision,window_recall,window_recall,window_recall,window_specificity,window_specificity,window_specificity,window_f1,window_f1,window_f1,window_auroc,window_auroc,window_auroc,window_tn,window_tn,window_tn,window_fp,window_fp,window_fp,window_fn,window_fn,window_fn,window_tp,window_tp,window_tp,window_loss,window_loss,window_loss,video_accuracy,video_accuracy,video_accuracy,video_precision,video_precision,video_precision,video_recall,video_recall,video_recall,video_specificity,video_specificity,video_specificity,video_f1,video_f1,video_f1,video_auroc,video_auroc,video_auroc,video_tn,video_tn,video_tn,video_fp,video_fp,video_fp,video_fn,video_fn,video_fn,video_tp,video_tp,video_tp,event_recall,event_recall,event_recall,detected_events,detected_events,detected_events,total_events,total_events,total_events,false_alarms,false_alarms,false_alarms,false_alarms_per_hour,false_alarms_per_hour,false_alarms_per_hour,mean_detection_delay_seconds,mean_detection_delay_seconds,mean_detection_delay_seconds
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,condition,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masked_bimamba,clean,0.0,0.0,0.0,12,0.8326613965744399,0.024413206135574784,12,0.3550347476039613,0.04790136405679826,12,0.6928873941205781,0.06516982442003096,12,0.8491940711928336,0.023143645345649028,12,0.4686899629420938,0.05400536939161254,12,0.8322892589647338,0.039327921709940684,12,9606.083333333334,261.8009161499818,12,1705.9166666666667,261.8009161499816,12,410.9166666666667,87.19722507400145,12,927.0833333333334,87.19722507400138,12,0.2696032407936365,0.1482799011264985,12,0.7271929824561404,0.017066881241830843,12,0.7240335492025691,0.013151919622773393,12,0.9724358974358975,0.01980494809786292,12,0.1958333333333333,0.05908605263648619,12,0.829878780546199,0.01009132572748529,12,0.7571901709401709,0.07900342414501521,12,11.75,3.545163158189171,12,48.25,3.545163158189172,12,3.5833333333333335,2.5746432527221854,12,126.41666666666667,2.5746432527221854,12,0.9416666666666668,0.03659209656864748,12,122.41666666666667,4.756972553924176,12,130.0,0.0,12,218.0,26.48841942503107,12,285.6310962294364,34.706037971361155,12,0.14265557442613142,0.058828207396560334,12
masked_bimamba,confidence_noise,0.1,0.10000000000000002,0.0,12,0.8241436100131753,0.027408266331792816,12,0.3428168982878041,0.048811901428945446,12,0.7001121076233184,0.06402102923545153,12,0.8388142385667138,0.026422129400479284,12,0.45941190899865525,0.05548202055269267,12,0.829886203957119,0.04101723421480225,12,9488.666666666666,298.88712777822144,12,1823.3333333333333,298.8871277782218,12,401.25,85.66013711703415,12,936.75,85.66013711703414,12,0.27455048857320574,0.15063102677245424,12,0.718421052631579,0.017311055038397645,12,0.7162242237710296,0.013946127307719486,12,0.9756410256410257,0.018506162076068804,12,0.16111111111111107,0.06409168516854671,12,0.8258619778058701,0.009621175788554799,12,0.7567307692307693,0.08239874891189872,12,9.666666666666666,3.845501110112801,12,50.333333333333336,3.845501110112802,12,3.1666666666666665,2.4058010698889443,12,126.83333333333333,2.4058010698889456,12,0.9487179487179486,0.034139437099945914,12,123.33333333333333,4.4381268229929685,12,130.0,0.0,12,233.83333333333334,28.280521190173964,12,306.37647401368446,37.0541113279321,12,0.10416176992410077,0.07908669126322095,12
masked_bimamba,confidence_noise,0.2,0.20000000000000004,0.0,12,0.8098880105401846,0.035144128785116274,12,0.32561705641644806,0.05218659174469614,12,0.7119456900847035,0.06131156112662402,12,0.8214727722772278,0.03559488107572658,12,0.445645002018902,0.059055395120381646,12,0.8256196300483668,0.04364301388976124,12,9292.5,402.649294728619,12,2019.5,402.6492947286192,12,385.4166666666667,82.03486878742291,12,952.5833333333334,82.03486878742291,12,0.28019436095255007,0.15376112041167558,12,0.7074561403508772,0.017011459146655535,12,0.7072428612453953,0.012648766949966049,12,0.9775641025641026,0.01980494809786298,12,0.12222222222222218,0.05788063881962906,12,0.8205595098178776,0.010049444465073843,12,0.7554967948717949,0.08630889919977576,12,7.333333333333333,3.4728383291777436,12,52.666666666666664,3.4728383291777436,12,2.9166666666666665,2.5746432527221863,12,127.08333333333333,2.574643252722185,12,0.9557692307692308,0.03314677938087453,12,124.25,4.309081319513687,12,130.0,0.0,12,255.58333333333334,34.57392168392328,12,334.87407191730944,45.29994106206282,12,0.04786810060130981,0.11882948962255482,12
masked_bimamba,confidence_noise,0.3,0.3,0.0,12,0.7933333333333333,0.04431018459159901,12,0.3080913447924791,0.0547601538571493,12,0.7222845042351769,0.05886242457716798,12,0.8017370933521923,0.04665583496382358,12,0.43025588956460986,0.06212359139292384,12,0.8201228982903896,0.04685667921164014,12,9069.25,527.7708051107725,12,2242.75,527.7708051107724,12,371.5833333333333,78.75792408425079,12,966.4166666666666,78.75792408425073,12,0.28503381680221335,0.15845351688226456,12,0.7026315789473685,0.018438132888036075,12,0.7026002227987099,0.014282160988657634,12,0.9814102564102565,0.014468653707625085,12,0.09861111111111108,0.06453341994317588,12,0.8187832969930547,0.009698049510296389,12,0.7533867521367522,0.09356870565878515,12,5.916666666666667,3.8720051965905524,12,54.083333333333336,3.872005196590552,12,2.4166666666666665,1.880924981991251,12,127.58333333333333,1.8809249819912515,12,0.9615384615384616,0.030417570868435773,12,125.0,3.954284212896644,12,130.0,0.0,12,281.1666666666667,40.1040313850532,12,368.3942349686997,52.545680952901265,12,-0.0074259454481809435,0.18018807477724819,12
masked_bimamba,frame_drop,0.1,0.10000000000000002,0.0,12,0.8333069828722003,0.024917671215650517,12,0.3577381668885011,0.04636949396527264,12,0.7001121076233184,0.05987146760759792,12,0.8490614686468647,0.025209225961419057,12,0.4724444481315378,0.05017664580378163,12,0.8372407643350819,0.03621581624133613,12,9604.583333333334,285.16676407557287,12,1707.4166666666667,285.1667640755727,12,401.25,80.10802365896599,12,936.75,80.10802365896598,12,0.2299565123651932,0.12829780695191548,12,0.7223684210526317,0.01385702436131538,12,0.7193595923612123,0.011343079329904802,12,0.9750000000000001,0.014344189857878395,12,0.17499999999999996,0.05100009902941466,12,0.8277810845181962,0.007656345126847281,12,0.7593055555555556,0.0728647075733265,12,10.5,3.0600059417648793,12,49.5,3.060005941764878,12,3.25,1.864744681524183,12,126.75,1.8647446815241842,12,0.9500000000000001,0.026342389093478802,12,123.5,3.4245105821522426,12,130.0,0.0,12,222.25,26.160779109888214,12,291.19959237152403,34.27675236409869,12,0.14449424380410356,0.071728463632279,12
masked_bimamba,frame_drop,0.2,0.20000000000000004,0.0,12,0.8277272727272728,0.024095743568598265,12,0.34929166207565204,0.042345471368769934,12,0.7080842052815147,0.0582632532619586,12,0.8418788307402169,0.024792233647844678,12,0.46682209072124775,0.04642404114258701,12,0.8388454126082051,0.03402332330057857,12,9523.333333333334,280.44974702441834,12,1788.6666666666667,280.44974702441897,12,390.5833333333333,77.9562328645006,12,947.4166666666666,77.95623286450063,12,0.19667535319835083,0.10782114421439475,12,0.7210526315789473,0.01522102748381518,12,0.7162669370559162,0.011425794710556617,12,0.9814102564102565,0.010607341299249652,12,0.15694444444444441,0.048957997527324604,12,0.8280589920567559,0.008209452206401936,12,0.7657692307692309,0.06502111122295576,12,9.416666666666666,2.937479851639476,12,50.583333333333336,2.937479851639476,12,2.4166666666666665,1.378954368902449,12,127.58333333333333,1.3789543689024495,12,0.9551282051282052,0.02070134810009242,12,124.16666666666667,2.6911752530120028,12,130.0,0.0,12,237.5,22.21997463381254,12,311.18066676372086,29.113374829569473,12,0.1066223399232016,0.08616646116848357,12
masked_bimamba,frame_drop,0.3,0.3,0.0,12,0.8143873517786561,0.024553082495677964,12,0.32998975389488067,0.03863265105061987,12,0.7151843547583457,0.054213536800972524,12,0.826121228194248,0.025655785305459547,12,0.45074288662300005,0.0432179153599861,12,0.8342956322778338,0.033977826954952293,12,9345.083333333334,290.21824337535827,12,1966.9166666666667,290.2182433753585,12,381.0833333333333,72.53771223970121,12,956.9166666666666,72.53771223970121,12,0.17167683451347493,0.08731395176671286,12,0.7118421052631579,0.015241694197317225,12,0.7072904331282618,0.009695217590438536,12,0.9878205128205129,0.009539326225939632,12,0.11388888888888883,0.03881667176271051,12,0.8243119545487502,0.008577315180851034,12,0.7750747863247863,0.06181011472655193,12,6.833333333333333,2.32900030576263,12,53.166666666666664,2.3290003057626305,12,1.5833333333333333,1.2401124093721456,12,128.41666666666666,1.2401124093721454,12,0.9602564102564103,0.02406583523001591,12,124.83333333333333,3.1285585799020583,12,130.0,0.0,12,262.1666666666667,18.580700316253537,12,343.49978162760203,24.345072477257514,12,0.034259081516741216,0.11176049364061584,12
masked_bimamba,lower_body_missing,1.0,1.0,0.0,12,0.2879117259552042,0.19315769981646114,12,0.12391270804751038,0.02053868196782423,12,0.9055181863477828,0.19794881983176343,12,0.2148603253182461,0.23652838035441232,12,0.21453454238022793,0.030700059529459034,12,0.6309722267370074,0.07476463303220926,12,2430.5,2675.609038569112,12,8881.5,2675.609038569112,12,126.41666666666667,264.85552093489946,12,1211.5833333333333,264.85552093489946,12,1.672881241035163,1.357735878744974,12,0.6793859649122806,0.027344333652379236,12,0.6851227443124643,0.005672159992461449,12,0.9826923076923076,0.05995560487738422,12,0.0222222222222222,0.04940726101573977,12,0.806732837363335,0.024998580559421855,12,0.4015918803418803,0.08096152154346753,12,1.3333333333333333,2.9644356609443876,12,58.666666666666664,2.9644356609443876,12,2.25,7.794228634059948,12,127.75,7.794228634059948,12,0.9692307692307692,0.10658774200423862,12,126.0,13.856406460551018,12,130.0,0.0,12,127.33333333333333,94.84181407464588,12,166.8365118649002,124.26500606664905,12,-5.449762351469668,2.795243917332517,12
