run,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
masked_bimamba/fold_0/seed_2026,masked_bimamba,fold_0,seed_2026,0.8611778846153846,0.6920821114369502,0.6519337016574586,0.9193548387096774,0.6714082503556187,0.8529058566930604,1197,105,126,236,0.6738446278720333,0.6451612903225806,0.5957446808510638,0.9032258064516129,0.3870967741935484,0.7179487179487178,0.8314255983350677,12,19,3,28,0.9032258064516129,28,31,25,230.06134969325146,0.3928571428571428,70
masked_bimamba/fold_0/seed_3407,masked_bimamba,fold_0,seed_3407,0.8371394230769231,0.6175710594315246,0.6602209944751382,0.8863287250384024,0.6381842456608812,0.8318057217540374,1154,148,123,239,0.5577119630134593,0.6774193548387096,0.6122448979591837,0.967741935483871,0.3870967741935484,0.75,0.8824141519250781,12,19,1,30,0.967741935483871,30,31,28,257.66871165644164,0.2933333333333334,64
masked_bimamba/fold_0/seed_42,masked_bimamba,fold_0,seed_42,0.8695913461538461,0.6912928759894459,0.7237569060773481,0.9101382488479263,0.7071524966261808,0.9000963243968056,1185,117,100,262,0.1892849556685318,0.7580645161290323,0.6818181818181818,0.967741935483871,0.5483870967741935,0.8,0.9084287200832466,17,14,1,30,0.967741935483871,30,31,19,174.8466257668711,0.3866666666666667,35
masked_bimamba/fold_1/seed_2026,masked_bimamba,fold_1,seed_2026,0.8287645512579798,0.4959839357429719,0.5464601769911505,0.8864767073722297,0.5199999999999999,0.7784618740569078,1960,251,205,247,0.29551302016598363,0.6410256410256411,0.6037735849056604,0.8205128205128205,0.46153846153846156,0.6956521739130435,0.7823800131492439,18,21,7,32,0.7948717948717948,31,39,31,183.07086614173235,0.27096774193548395,23
masked_bimamba/fold_1/seed_3407,masked_bimamba,fold_1,seed_3407,0.8400300413067968,0.5266393442622951,0.5685840707964602,0.8955223880597015,0.5468085106382979,0.8138040689553038,1980,231,195,257,0.23482709079477243,0.6923076923076923,0.6415094339622641,0.8717948717948718,0.5128205128205128,0.7391304347826088,0.8264299802761342,20,19,5,34,0.8717948717948718,34,39,27,159.44881889763784,0.4294117647058822,22
masked_bimamba/fold_1/seed_42,masked_bimamba,fold_1,seed_42,0.830266616597822,0.5,0.6371681415929203,0.8697421981004071,0.5603112840466925,0.8071448869890291,1923,288,164,288,0.5535195693282751,0.6538461538461539,0.59375,0.9743589743589743,0.3333333333333333,0.7378640776699028,0.829059829059829,13,26,1,38,0.9743589743589743,38,39,45,265.74803149606305,0.3473684210526315,75
masked_bimamba/fold_2/seed_2026,masked_bimamba,fold_2,seed_2026,0.8857447944474106,0.6493150684931507,0.7337461300309598,0.9174193548387096,0.688953488372093,0.9350364526116048,1422,128,86,237,0.0504287672768612,0.7936507936507936,0.7142857142857143,0.967741935483871,0.625,0.821917808219178,0.9495967741935483,20,12,1,30,0.967741935483871,30,31,18,148.41960604672468,0.4,22
masked_bimamba/fold_2/seed_3407,masked_bimamba,fold_2,seed_3407,0.9103043246129204,0.7207977207977208,0.7832817337461301,0.9367741935483871,0.7507418397626112,0.9251393188854489,1452,98,70,253,0.08228250416726654,0.7142857142857143,0.6326530612244898,1.0,0.4375,0.775,0.969758064516129,14,18,0,31,1.0,31,31,24,197.8928080622996,0.19999999999999998,35
masked_bimamba/fold_2/seed_42,masked_bimamba,fold_2,seed_42,0.9028296849973305,0.7091988130563798,0.739938080495356,0.9367741935483871,0.7242424242424241,0.9220693098971338,1452,98,84,239,0.05402339832012945,0.7142857142857143,0.6326530612244898,1.0,0.4375,0.775,0.9546370967741935,14,18,0,31,1.0,31,31,30,247.36601007787448,0.29677419354838713,24
masked_bimamba/fold_3/seed_2026,masked_bimamba,fold_3,seed_2026,0.8675853804673457,0.5202492211838006,0.7136752136752137,0.8926829268292683,0.6018018018018019,0.8673337502605795,1281,154,67,167,0.43208341125031,0.7192982456140351,0.6410256410256411,0.9259259259259259,0.5333333333333333,0.7575757575757577,0.8481481481481481,16,14,2,25,0.8888888888888888,24,27,19,175.3846153846154,0.05833333333333331,64
masked_bimamba/fold_3/seed_3407,masked_bimamba,fold_3,seed_3407,0.883762732174955,0.5689655172413793,0.7051282051282052,0.9128919860627178,0.6297709923664123,0.8658208999672413,1310,125,69,165,0.2977579823686265,0.7543859649122807,0.6666666666666666,0.9629629629629629,0.5666666666666667,0.7878787878787878,0.865432098765432,17,13,1,26,0.9259259259259259,25,27,18,166.15384615384616,0.04800000000000001,41
masked_bimamba/fold_3/seed_42,masked_bimamba,fold_3,seed_42,0.8831635710005992,0.5652173913043478,0.7222222222222222,0.9094076655052264,0.6341463414634146,0.8626224723785699,1305,130,65,169,0.41794204943079905,0.7719298245614035,0.6842105263157895,0.9629629629629629,0.6,0.7999999999999999,0.8666666666666667,18,12,1,26,0.8888888888888888,24,27,19,175.3846153846154,0.11666666666666674,60
tcn/fold_0/seed_2026,tcn,fold_0,seed_2026,0.8533653846153846,0.7137681159420289,0.5441988950276243,0.9393241167434716,0.6175548589341693,0.8557934669144792,1223,79,165,197,0.10997683610408925,0.6935483870967742,0.6428571428571429,0.8709677419354839,0.5161290322580645,0.7397260273972603,0.8699271592091571,16,15,4,27,0.8709677419354839,27,31,17,156.44171779141098,0.6666666666666666,94
tcn/fold_0/seed_3407,tcn,fold_0,seed_3407,0.8503605769230769,0.6547945205479452,0.6602209944751382,0.9032258064516129,0.657496561210454,0.8846144053771929,1176,126,123,239,0.09279352798162457,0.7096774193548387,0.6382978723404256,0.967741935483871,0.45161290322580644,0.7692307692307693,0.8949011446409989,14,17,1,30,0.967741935483871,30,31,24,220.8588957055214,0.5133333333333334,81
tcn/fold_0/seed_42,tcn,fold_0,seed_42,0.8455528846153846,0.6370757180156658,0.6740331491712708,0.8932411674347158,0.65503355704698,0.8351484329251216,1163,139,118,244,0.17942377568509144,0.7096774193548387,0.6382978723404256,0.967741935483871,0.45161290322580644,0.7692307692307693,0.8657648283038502,14,17,1,30,0.967741935483871,30,31,19,174.8466257668711,0.6266666666666665,84
tcn/fold_1/seed_2026,tcn,fold_1,seed_2026,0.8392790086368757,0.5220588235294118,0.6283185840707964,0.8824061510628675,0.570281124497992,0.8061442585943972,1951,260,168,284,0.116960078953488,0.6794871794871795,0.6206896551724138,0.9230769230769231,0.4358974358974359,0.7422680412371133,0.8757396449704142,17,22,3,36,0.9230769230769231,36,39,33,194.88188976377958,0.25,87
